order_item_id,order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,discount,total_amount,city,region,payment_method,shipping_mode,sales_channel,return_status
1,1,10/16/2025,103,Customer_1127,126,Product_115,Home,1,4567,0,4567,Delhi,North,NetBanking,Standard,Website,Yes
2,2,8/11/2024,2070,Customer_2466,14,Product_288,Home,5,3536,5,16796,Mumbai,West,NetBanking,Same Day,Marketplace,Yes
3,3,2/16/2026,2860,Customer_1732,175,Product_143,Home,2,2857,0,5714,Mumbai,West,UPI,Express,Website,No
4,4,5/17/2026,2473,Customer_1084,414,Product_23,Sports,5,1122,15,4768.5,Bengaluru,South,UPI,Same Day,Marketplace,No
5,5,8/14/2025,2886,Customer_285,24,Product_339,Home,3,753,30,1581.3,Mumbai,West,Card,Standard,Retail,No
6,6,4/9/2025,667,Customer_1517,182,Product_108,Fashion,1,1501,20,1200.8,Bengaluru,South,Card,Standard,Retail,No
7,7,10/3/2024,900,Customer_2805,167,Product_432,Electronics,2,362,30,506.8,Lucknow,North,COD,Express,Marketplace,Yes
8,8,8/4/2024,2941,Customer_1289,109,Product_336,Sports,4,3858,5,14660.4,Lucknow,North,COD,Standard,Mobile App,No
9,9,2/3/2026,1755,Customer_2391,205,Product_186,Home,2,4274,15,7265.8,Lucknow,North,UPI,Standard,Website,Yes
10,10,10/4/2025,2788,Customer_1730,306,Product_33,Sports,4,4981,15,16935.4,Mumbai,West,COD,Same Day,Website,Yes
11,11,11/29/2025,1093,Customer_2626,175,Product_58,Fashion,4,1395,15,4743,Lucknow,North,UPI,Same Day,Marketplace,Yes
12,12,6/3/2025,2562,Customer_1223,431,Product_328,Beauty,5,1729,5,8212.75,Delhi,North,COD,Standard,Website,No
13,13,5/15/2025,459,Customer_1487,450,Product_426,Fashion,2,574,5,1090.6,Delhi,North,UPI,Standard,Retail,Yes
14,14,2/17/2026,516,Customer_526,338,Product_244,Beauty,2,2271,20,3633.6,Lucknow,North,NetBanking,Standard,Mobile App,No
15,15,2/12/2025,1795,Customer_2120,232,Product_62,Home,2,624,10,1123.2,Bengaluru,South,UPI,Same Day,Mobile App,Yes
16,16,1/8/2024,2900,Customer_2585,31,Product_118,Electronics,1,2806,0,2806,Delhi,North,Card,Express,Retail,Yes
17,17,7/6/2025,2963,Customer_2339,296,Product_243,Home,4,3434,5,13049.2,Mumbai,West,UPI,Standard,Retail,No
18,18,3/9/2025,1913,Customer_2987,28,Product_345,Electronics,1,3398,25,2548.5,Kolkata,East,COD,Standard,Mobile App,Yes
19,19,7/13/2024,1838,Customer_575,217,Product_94,Fashion,4,2146,30,6008.8,Lucknow,North,UPI,Express,Website,Yes
20,20,10/29/2025,61,Customer_383,475,Product_386,Home,2,3429,15,5829.3,Lucknow,North,NetBanking,Standard,Retail,Yes
21,21,6/17/2024,9,Customer_1600,136,Product_475,Sports,3,3565,25,8021.25,Kolkata,East,NetBanking,Standard,Mobile App,No
22,22,8/10/2024,2373,Customer_2221,32,Product_383,Fashion,1,510,20,408,Delhi,North,NetBanking,Same Day,Mobile App,Yes
23,23,6/4/2025,762,Customer_281,305,Product_35,Home,4,1082,20,3462.4,Delhi,North,Card,Same Day,Website,Yes
24,24,3/5/2025,2316,Customer_2142,162,Product_479,Fashion,2,2673,5,5078.7,Lucknow,North,COD,Express,Mobile App,No
25,25,4/13/2025,298,Customer_39,235,Product_319,Beauty,1,700,20,560,Bengaluru,South,Card,Same Day,Marketplace,Yes
26,26,12/23/2024,1001,Customer_1514,146,Product_81,Sports,5,2578,20,10312,Delhi,North,UPI,Same Day,Marketplace,Yes
27,27,6/18/2026,1084,Customer_473,456,Product_55,Beauty,2,2331,10,4195.8,Mumbai,West,Card,Same Day,Marketplace,Yes
28,28,12/4/2025,2071,Customer_2002,129,Product_464,Electronics,1,3569,30,2498.3,Bengaluru,South,COD,Standard,Website,No
29,29,2/28/2026,2610,Customer_1073,83,Product_380,Sports,5,3603,20,14412,Mumbai,West,UPI,Standard,Website,Yes
30,30,7/12/2025,1513,Customer_2386,283,Product_76,Sports,2,442,10,795.6,Delhi,North,COD,Standard,Marketplace,Yes
31,31,11/29/2025,2732,Customer_422,182,Product_400,Beauty,4,1366,5,5190.8,Mumbai,West,Card,Standard,Retail,Yes
32,32,7/2/2024,1687,Customer_2744,443,Product_377,Home,3,1404,30,2948.4,Bengaluru,South,UPI,Express,Website,No
33,33,8/15/2024,1886,Customer_1433,157,Product_421,Home,2,293,25,439.5,Mumbai,West,Card,Express,Marketplace,No
34,34,6/4/2026,1144,Customer_1439,329,Product_261,Sports,5,2812,0,14060,Delhi,North,UPI,Express,Mobile App,No
35,35,2/9/2024,2444,Customer_1780,177,Product_374,Fashion,4,4289,0,17156,Delhi,North,NetBanking,Same Day,Mobile App,No
