order_item_id,order_id,product_id,quantity,unit_price,customer_id,order_date,total_amount,customer_name,city,signup_date,product_name,category,price
1,O00001,P0381,3,35558,C0800,8/23/2025,277002,Customer 800,Delhi,7/26/2024,Bottle 6,Home,35558
2,O00001,P0396,1,8492,C0800,8/23/2025,277002,Customer 800,Delhi,7/26/2024,Air Fryer 21,Home,8492
3,O00001,P0393,3,18398,C0800,8/23/2025,277002,Customer 800,Delhi,7/26/2024,Air Fryer 18,Home,18398
4,O00001,P0254,1,4422,C0800,8/23/2025,277002,Customer 800,Delhi,7/26/2024,Shoes 4,Fashion,4422
5,O00001,P0282,2,51110,C0800,8/23/2025,277002,Customer 800,Delhi,7/26/2024,T-Shirt 32,Fashion,51110
6,O00002,P0278,1,29736,C0794,10/6/2025,328054,Customer 794,Jaipur,1/10/2024,T-Shirt 28,Fashion,29736
7,O00002,P0422,3,65644,C0794,10/6/2025,328054,Customer 794,Jaipur,1/10/2024,Vacuum 47,Home,65644
8,O00002,P0388,2,50693,C0794,10/6/2025,328054,Customer 794,Jaipur,1/10/2024,Bottle 13,Home,50693
9,O00003,P0053,1,10536,C0560,4/22/2025,175258,Customer 560,Jaipur,2/8/2024,Headphones 53,Electronics,10536
10,O00003,P0377,2,41707,C0560,4/22/2025,175258,Customer 560,Jaipur,2/8/2024,Vacuum 2,Home,41707
11,O00003,P0425,1,55660,C0560,4/22/2025,175258,Customer 560,Jaipur,2/8/2024,Air Fryer 50,Home,55660
12,O00003,P0335,2,12824,C0560,4/22/2025,175258,Customer 560,Jaipur,2/8/2024,Shoes 85,Fashion,12824
13,O00004,P0225,1,67095,C0270,6/28/2025,67095,Customer 270,Lucknow,12/5/2024,Desk 100,Furniture,67095
14,O00005,P0416,3,51702,C0795,5/2/2025,197601,Customer 795,Hyderabad,2/9/2024,Bottle 41,Home,51702
15,O00005,P0378,3,14165,C0795,5/2/2025,197601,Customer 795,Hyderabad,2/9/2024,Bottle 3,Home,14165
16,O00006,P0324,1,1398,C0360,12/30/2025,331119,Customer 360,Kolkata,12/12/2024,T-Shirt 74,Fashion,1398
17,O00006,P0220,1,8294,C0360,12/30/2025,331119,Customer 360,Kolkata,12/12/2024,Desk 95,Furniture,8294
18,O00006,P0085,1,55005,C0360,12/30/2025,331119,Customer 360,Kolkata,12/12/2024,Keyboard 85,Electronics,55005
19,O00006,P0316,3,46360,C0360,12/30/2025,331119,Customer 360,Kolkata,12/12/2024,T-Shirt 66,Fashion,46360
20,O00006,P0072,2,63671,C0360,12/30/2025,331119,Customer 360,Kolkata,12/12/2024,Monitor 72,Electronics,63671
21,O00007,P0276,2,49543,C0546,5/24/2025,534842,Customer 546,Pune,12/23/2024,Jeans 26,Fashion,49543
22,O00007,P0087,3,41188,C0546,5/24/2025,534842,Customer 546,Pune,12/23/2024,Headphones 87,Electronics,41188
23,O00007,P0166,2,31563,C0546,5/24/2025,534842,Customer 546,Pune,12/23/2024,Desk 41,Furniture,31563
24,O00007,P0361,3,50511,C0546,5/24/2025,534842,Customer 546,Pune,12/23/2024,Jeans 111,Fashion,50511
25,O00007,P0150,3,32511,C0546,5/24/2025,534842,Customer 546,Pune,12/23/2024,Chair 25,Furniture,32511
26,O00008,P0493,2,53826,C0835,2/18/2025,121390,Customer 835,Hyderabad,1/30/2024,Vacuum 118,Home,53826
27,O00008,P0385,1,13738,C0835,2/18/2025,121390,Customer 835,Hyderabad,1/30/2024,Vacuum 10,Home,13738
28,O00009,P0360,1,51207,C0284,12/2/2025,62660,Customer 284,Bangalore,4/22/2024,T-Shirt 110,Fashion,51207
29,O00009,P0444,1,11453,C0284,12/2/2025,62660,Customer 284,Bangalore,4/22/2024,Vacuum 69,Home,11453
30,O00010,P0425,3,55660,C0150,12/31/2025,348026,Customer 150,Delhi,6/9/2024,Air Fryer 50,Home,55660
31,O00010,P0127,2,39494,C0150,12/31/2025,348026,Customer 150,Delhi,6/9/2024,Lamp 2,Furniture,39494
32,O00010,P0390,2,51029,C0150,12/31/2025,348026,Customer 150,Delhi,6/9/2024,Vacuum 15,Home,51029
33,O00011,P0322,2,18221,C0146,10/23/2025,215925,Customer 146,Pune,3/20/2024,Jacket 72,Fashion,18221
